DATE,Kabupaten/Kota,NDVI
2017-01-31,Kabupaten Bangkalan,0.5374263412450953
2017-02-28,Kabupaten Bangkalan,0.5374263412450953
2017-03-31,Kabupaten Bangkalan,0.5374263412450953
2017-04-30,Kabupaten Bangkalan,0.5374263412450953
2017-05-31,Kabupaten Bangkalan,0.5374263412450953
2017-06-30,Kabupaten Bangkalan,0.5374263412450953
2017-07-31,Kabupaten Bangkalan,0.5374263412450953
2017-08-31,Kabupaten Bangkalan,0.5003792432866799
2017-09-30,Kabupaten Bangkalan,0.4645272130043425
2017-10-31,Kabupaten Bangkalan,0.42748011504592714
2017-11-30,Kabupaten Bangkalan,0.39162808476358973
2017-12-31,Kabupaten Bangkalan,0.3545809868051744
2018-01-31,Kabupaten Bangkalan,0.31753388884675904
2018-02-28,Kabupaten Bangkalan,0.2840719939165775
2018-03-31,Kabupaten Bangkalan,0.2470248959581621
2018-04-30,Kabupaten Bangkalan,0.5779966377468196
2018-05-31,Kabupaten Bangkalan,0.4995506466604483
2018-06-30,Kabupaten Bangkalan,0.49296479106424357
2018-07-31,Kabupaten Bangkalan,0.4861594069481654
2018-08-31,Kabupaten Bangkalan,0.5094802110021251
2018-09-30,Kabupaten Bangkalan,0.5320487310543442
2018-10-31,Kabupaten Bangkalan,0.5553695351083039
2018-11-30,Kabupaten Bangkalan,0.577938055160523
2018-12-31,Kabupaten Bangkalan,0.6012588592144827
2019-01-31,Kabupaten Bangkalan,0.4494095121898823
2019-02-28,Kabupaten Bangkalan,0.3130268008183651
2019-03-31,Kabupaten Bangkalan,0.1517202926160648
2019-04-30,Kabupaten Bangkalan,0.2614336739718683
2019-05-31,Kabupaten Bangkalan,0.3698460339631032
2019-06-30,Kabupaten Bangkalan,0.3373527681991207
2019-07-31,Kabupaten Bangkalan,0.3086875986575766
2019-08-31,Kabupaten Bangkalan,0.3027036567878549
2019-09-30,Kabupaten Bangkalan,0.2180763374435298
2019-10-31,Kabupaten Bangkalan,0.2930400029532922
2019-11-30,Kabupaten Bangkalan,0.15116770368806
2019-12-31,Kabupaten Bangkalan,0.1337412589314681
2020-01-31,Kabupaten Bangkalan,0.6028107337819767
2020-02-29,Kabupaten Bangkalan,0.4208930553991362
2020-03-31,Kabupaten Bangkalan,0.3788711941378899
2020-04-30,Kabupaten Bangkalan,0.3340716085089258
2020-05-31,Kabupaten Bangkalan,0.3982170372223552
2020-06-30,Kabupaten Bangkalan,0.3909639289306346
2020-07-31,Kabupaten Bangkalan,0.3551863283407138
2020-08-31,Kabupaten Bangkalan,0.3239339800775747
2020-09-30,Kabupaten Bangkalan,0.3673628863324035
2020-10-31,Kabupaten Bangkalan,0.3087972053674691
2020-11-30,Kabupaten Bangkalan,0.2709733402435104
2020-12-31,Kabupaten Bangkalan,0.2927878417698638
2021-01-31,Kabupaten Bangkalan,0.3875190881906
2021-02-28,Kabupaten Bangkalan,0.3012906364576708
2021-03-31,Kabupaten Bangkalan,0.3076369240934463
2021-04-30,Kabupaten Bangkalan,0.3410845152894638
2021-05-31,Kabupaten Bangkalan,0.2249412347956501
2021-06-30,Kabupaten Bangkalan,0.2830292464874807
2021-07-31,Kabupaten Bangkalan,0.4563399517627871
2021-08-31,Kabupaten Bangkalan,0.3412373506257505
2021-09-30,Kabupaten Bangkalan,0.2826304483353601
2021-10-31,Kabupaten Bangkalan,0.3903453633253647
2021-11-30,Kabupaten Bangkalan,0.3483554099130708
2021-12-31,Kabupaten Bangkalan,0.3610264355636925
2022-01-31,Kabupaten Bangkalan,0.2527115536712598
2022-02-28,Kabupaten Bangkalan,0.4584106744597579
2022-03-31,Kabupaten Bangkalan,0.1951085285822146
2022-04-30,Kabupaten Bangkalan,0.3572758203917518
2022-05-31,Kabupaten Bangkalan,0.3540785945634904
2022-06-30,Kabupaten Bangkalan,0.4304232568651607
2022-07-31,Kabupaten Bangkalan,0.5382576462155767
2022-08-31,Kabupaten Bangkalan,0.3479806761535162
2022-09-30,Kabupaten Bangkalan,0.3833088634319098
2022-10-31,Kabupaten Bangkalan,0.2942665060173573
2022-11-30,Kabupaten Bangkalan,0.0489738221667762
2022-12-31,Kabupaten Bangkalan,0.4223182583037745
